"Date","Price","Open","High","Low","Vol.","Change %"
"06/10/2024","3,070","3,010","3,160","3,010","16.34M","1.99%"
"06/07/2024","3,010","3,080","3,100","3,010","18.55M","-2.27%"
"06/06/2024","3,080","3,080","3,170","3,070","9.10M","0.33%"
"06/05/2024","3,070","3,140","3,160","3,060","16.08M","-1.92%"
"06/04/2024","3,130","3,080","3,200","3,070","20.12M","1.62%"
"06/03/2024","3,080","3,150","3,190","3,070","16.63M","-1.28%"
"05/31/2024","3,120","3,160","3,230","3,120","93.44M","0.32%"
"05/30/2024","3,110","3,000","3,190","2,970","32.05M","3.32%"
"05/29/2024","3,010","3,280","3,280","2,970","28.32M","-8.23%"
"05/28/2024","3,280","3,290","3,390","3,160","29.38M","0.61%"
"05/27/2024","3,260","3,090","3,270","3,090","54.57M","6.54%"
"05/22/2024","3,060","2,910","3,090","2,870","50.45M","5.15%"
"05/21/2024","2,910","2,710","2,910","2,700","44.63M","7.78%"
"05/20/2024","2,700","2,710","2,750","2,680","6.97M","-0.37%"
"05/17/2024","2,710","2,700","2,750","2,700","9.95M","0.37%"
"05/16/2024","2,700","2,680","2,700","2,660","8.08M","0.75%"
"05/15/2024","2,680","2,700","2,710","2,650","7.51M","-0.74%"
"05/14/2024","2,700","2,670","2,710","2,640","10.09M","1.89%"
"05/13/2024","2,650","2,560","2,690","2,560","23.95M","3.52%"
"05/08/2024","2,560","2,540","2,580","2,530","11.51M","0.79%"
"05/07/2024","2,540","2,600","2,600","2,530","8.63M","-2.31%"
"05/06/2024","2,600","2,650","2,650","2,570","4.22M","0.00%"
"05/03/2024","2,600","2,640","2,650","2,570","12.20M","-1.52%"
"05/02/2024","2,640","2,620","2,640","2,570","12.79M","0.76%"
"04/30/2024","2,620","2,590","2,670","2,560","21.07M","1.16%"
"04/29/2024","2,590","2,600","2,610","2,480","20.63M","0.00%"
"04/26/2024","2,590","2,650","2,750","2,590","31.84M","-1.89%"
"04/25/2024","2,640","2,500","2,690","2,500","49.64M","10.46%"
"04/24/2024","2,390","2,350","2,420","2,350","14.64M","2.58%"
"04/23/2024","2,330","2,420","2,430","2,330","13.23M","-3.32%"
"04/22/2024","2,410","2,400","2,430","2,370","6.97M","1.26%"
"04/19/2024","2,380","2,380","2,440","2,330","13.20M","-0.42%"
"04/18/2024","2,390","2,370","2,430","2,370","13.30M","0.84%"
"04/17/2024","2,370","2,540","2,550","2,370","35.91M","-6.69%"
"04/16/2024","2,540","2,600","2,630","2,540","20.69M","-5.22%"
"04/05/2024","2,680","2,710","2,730","2,680","4.69M","-1.11%"
"04/04/2024","2,710","2,690","2,790","2,690","15.09M","0.74%"
"04/03/2024","2,690","2,740","2,740","2,670","10.53M","-1.82%"
"04/02/2024","2,740","2,720","2,740","2,700","7.45M","0.37%"
"04/01/2024","2,730","2,700","2,730","2,630","10.89M","1.11%"
"03/28/2024","2,700","2,730","2,740","2,650","22.41M","-1.10%"
"03/27/2024","2,730","2,730","2,770","2,720","8.17M","-1.44%"
"03/26/2024","2,770","2,760","2,770","2,730","12.14M","0.36%"
"03/25/2024","2,760","2,720","2,760","2,690","9.64M","1.47%"
"03/22/2024","2,720","2,720","2,750","2,670","16.02M","0.00%"
"03/21/2024","2,720","2,760","2,780","2,720","10.19M","-1.45%"
"03/20/2024","2,760","2,760","2,820","2,740","20.53M","0.73%"
"03/19/2024","2,740","2,780","2,790","2,740","7.21M","-1.08%"
"03/18/2024","2,770","2,640","2,800","2,640","31.87M","4.92%"
"03/15/2024","2,640","2,660","2,690","2,620","31.98M","-1.86%"
"03/14/2024","2,690","2,720","2,720","2,660","23.62M","-1.10%"
"03/13/2024","2,720","2,720","2,720","2,660","18.54M","2.26%"
"03/08/2024","2,660","2,730","2,740","2,660","9.29M","-2.56%"
"03/07/2024","2,730","2,700","2,730","2,680","18.96M","1.49%"
"03/06/2024","2,690","2,680","2,720","2,670","8.40M","0.75%"
"03/05/2024","2,670","2,670","2,690","2,640","9.04M","0.00%"
"03/04/2024","2,670","2,730","2,740","2,660","9.76M","-2.20%"
"03/01/2024","2,730","2,710","2,730","2,660","13.02M","0.00%"
"02/29/2024","2,730","2,710","2,730","2,640","33.04M","1.11%"
"02/28/2024","2,700","2,620","2,720","2,610","28.09M","3.05%"
"02/27/2024","2,620","2,590","2,640","2,570","23.07M","1.16%"
"02/26/2024","2,590","2,690","2,690","2,590","32.98M","-3.72%"
"02/23/2024","2,690","2,730","2,740","2,660","14.97M","-1.10%"
"02/22/2024","2,720","2,690","2,740","2,690","14.45M","1.12%"
"02/21/2024","2,690","2,760","2,770","2,650","42.78M","-2.54%"
"02/20/2024","2,760","2,800","2,820","2,760","25.79M","-1.43%"
"02/19/2024","2,800","2,830","2,870","2,800","19.25M","-1.06%"
"02/16/2024","2,830","2,930","2,940","2,830","22.77M","-3.41%"
"02/15/2024","2,930","2,860","2,940","2,830","37.99M","4.64%"
"02/13/2024","2,800","2,920","2,930","2,800","56.55M","-4.11%"
"02/12/2024","2,920","3,170","3,170","2,920","82.25M","-10.70%"
"02/07/2024","3,270","3,250","3,280","3,240","12.54M","0.62%"
"02/06/2024","3,250","3,220","3,270","3,170","14.52M","1.56%"
"02/05/2024","3,200","3,190","3,240","3,180","16.18M","0.95%"
"02/02/2024","3,170","3,100","3,200","3,100","18.04M","2.26%"
"02/01/2024","3,100","3,100","3,130","3,090","12.76M","0.00%"
"01/31/2024","3,100","3,130","3,150","3,100","18.46M","-0.96%"
"01/30/2024","3,130","3,080","3,130","3,010","26.09M","1.62%"
"01/29/2024","3,080","3,160","3,160","3,070","13.85M","-2.53%"
"01/26/2024","3,160","3,160","3,170","3,130","5.35M","0.00%"
"01/25/2024","3,160","3,190","3,200","3,150","11.17M","-1.25%"
"01/24/2024","3,200","3,180","3,220","3,150","8.52M","0.63%"
"01/23/2024","3,180","3,140","3,200","3,130","17.21M","1.92%"
"01/22/2024","3,120","3,220","3,240","3,120","22.07M","-3.70%"
"01/19/2024","3,240","3,300","3,300","3,210","15.82M","-1.82%"
"01/18/2024","3,300","3,330","3,340","3,290","14.86M","-0.60%"
"01/17/2024","3,320","3,440","3,440","3,310","30.69M","-2.64%"
"01/16/2024","3,410","3,430","3,470","3,410","5.86M","-0.58%"
"01/15/2024","3,430","3,470","3,480","3,430","7.95M","-1.15%"
"01/12/2024","3,470","3,430","3,480","3,410","8.75M","1.76%"
"01/11/2024","3,410","3,450","3,450","3,410","3.29M","0.00%"
"01/10/2024","3,410","3,430","3,480","3,410","12.28M","-0.58%"
"01/09/2024","3,430","3,480","3,490","3,420","6.68M","-1.44%"
"01/08/2024","3,480","3,530","3,560","3,470","7.22M","-1.14%"
"01/05/2024","3,520","3,540","3,580","3,520","7.58M","0.00%"
"01/04/2024","3,520","3,530","3,560","3,520","6.94M","-0.28%"
"01/03/2024","3,530","3,550","3,560","3,520","3.25M","-0.56%"
"01/02/2024","3,550","3,530","3,550","3,500","6.00M","0.57%"
"12/29/2023","3,530","3,540","3,550","3,500","6.00M","-0.28%"
"12/28/2023","3,540","3,500","3,570","3,500","12.31M","2.02%"
"12/27/2023","3,470","3,470","3,520","3,450","8.12M","0.00%"
"12/22/2023","3,470","3,470","3,490","3,440","6.67M","0.00%"
"12/21/2023","3,470","3,470","3,480","3,440","4.50M","0.29%"
"12/20/2023","3,460","3,430","3,520","3,420","15.67M","0.87%"
"12/19/2023","3,430","3,410","3,440","3,380","6.94M","0.59%"
"12/18/2023","3,410","3,480","3,480","3,380","10.58M","-2.57%"
"12/15/2023","3,500","3,400","3,500","3,330","24.91M","2.94%"
"12/14/2023","3,400","3,450","3,450","3,400","9.55M","-1.45%"
"12/13/2023","3,450","3,430","3,460","3,400","5.87M","0.58%"
"12/12/2023","3,430","3,500","3,510","3,420","11.41M","-2.00%"
"12/11/2023","3,500","3,500","3,510","3,470","7.70M","-0.28%"
"12/08/2023","3,510","3,570","3,570","3,490","10.27M","-1.68%"
"12/07/2023","3,570","3,510","3,570","3,500","7.25M","1.71%"
"12/06/2023","3,510","3,620","3,630","3,500","16.67M","-3.04%"
"12/05/2023","3,620","3,590","3,620","3,570","14.55M","-0.28%"
"12/04/2023","3,630","3,640","3,670","3,550","17.11M","0.00%"
"12/01/2023","3,630","3,600","3,700","3,590","11.65M","-0.55%"
"11/30/2023","3,650","3,630","3,650","3,570","40.88M","0.55%"
"11/29/2023","3,630","3,600","3,640","3,560","9.79M","0.83%"
"11/28/2023","3,600","3,520","3,640","3,520","13.64M","2.27%"
"11/27/2023","3,520","3,530","3,550","3,500","11.94M","-0.28%"
"11/24/2023","3,530","3,550","3,580","3,520","5.31M","-0.28%"
"11/23/2023","3,540","3,510","3,580","3,500","16.67M","1.14%"
"11/22/2023","3,500","3,480","3,520","3,450","16.97M","0.57%"
"11/21/2023","3,480","3,460","3,490","3,430","11.47M","0.58%"
"11/20/2023","3,460","3,470","3,470","3,420","5.70M","-0.29%"
"11/17/2023","3,470","3,470","3,470","3,420","13.56M","0.29%"
"11/16/2023","3,460","3,440","3,460","3,420","11.95M","0.87%"
