"Date","Price","Open","High","Low","Vol.","Change %"
"12/27/2023","755","760","760","730","7.50K","-0.66%"
"12/28/2023","755","750","755","750","1.20K","0.00%"
"12/29/2023","740","755","755","740","3.80K","-1.99%"
"01/02/2024","770","745","775","740","7.00K","4.05%"
"01/03/2024","720","740","760","700","82.30K","-6.49%"
"01/04/2024","755","730","755","725","6.50K","4.86%"
"01/05/2024","750","750","750","720","31.20K","-0.66%"
"01/08/2024","750","750","750","735","2.00K","0.00%"
"01/09/2024","740","740","755","740","10.30K","-1.33%"
"01/10/2024","740","740","740","740","0.30K","0.00%"
"01/11/2024","740","740","755","725","12.90K","0.00%"
"01/12/2024","750","750","750","750","0.10K","1.35%"
"01/15/2024","745","750","750","700","5.00K","-0.67%"
"01/16/2024","740","745","750","705","5.10K","-0.67%"
"01/17/2024","740","740","740","740","1.30K","0.00%"
"01/18/2024","725","730","750","720","3.60K","-2.03%"
"01/19/2024","735","725","735","725","1.20K","1.38%"
"01/22/2024","745","750","750","725","9.20K","1.36%"
"01/23/2024","730","750","750","725","1.90K","-2.01%"
"01/24/2024","725","730","750","725","2.50K","-0.68%"
"01/25/2024","745","730","745","715","9.20K","2.76%"
"01/26/2024","720","750","750","715","11.40K","-3.36%"
"01/29/2024","725","725","725","725","0.40K","0.69%"
"01/30/2024","720","745","745","715","13.80K","-0.69%"
"01/31/2024","730","720","735","720","3.20K","1.39%"
"02/01/2024","730","720","730","715","15.80K","0.00%"
"02/02/2024","730","730","730","715","0.80K","0.00%"
"02/05/2024","710","730","730","710","1.00K","-2.74%"
"02/06/2024","715","710","715","710","1.20K","0.70%"
"02/07/2024","715","715","715","715","0.40K","0.00%"
"02/12/2024","715","715","735","715","1.90K","0.00%"
"02/13/2024","730","730","735","720","3.60K","2.10%"
"02/15/2024","730","730","740","645","39.40K","0.00%"
"02/16/2024","730","725","730","725","10.50K","0.00%"
"02/19/2024","730","730","730","730","0.20K","0.00%"
"02/20/2024","730","660","730","660","3.50K","0.00%"
"02/21/2024","695","730","730","690","46.80K","-4.79%"
"02/22/2024","705","700","705","695","22.20K","1.44%"
"02/23/2024","690","705","710","690","1.80K","-2.13%"
"02/26/2024","705","690","705","690","12.70K","2.17%"
