Date,Price,Open,High,Low,Vol.,Change %
12/21/2023,"1,990","1,990","1,990","1,990",0.10K,0.00%
12/22/2023,"1,990","1,990","1,990","1,990",1.20K,0.00%
12/27/2023,"1,935","1,985","1,985","1,935",0.60K,-2.76%
12/28/2023,"1,950","1,950","1,950","1,950",12.40K,0.78%
12/29/2023,"1,940","2,000","2,000","1,940",0.70K,-0.51%
1/2/2024,"2,050","1,940","2,050","1,930",19.70K,5.67%
1/3/2024,"2,000","2,000","2,050","2,000",1.70K,-2.44%
1/4/2024,"1,965","1,950","1,965","1,950",8.10K,-1.75%
1/5/2024,"1,935","1,935","1,940","1,935",0.70K,-1.53%
1/8/2024,"1,995","1,935","2,010","1,935",4.00K,3.10%
1/9/2024,"1,995","1,985","1,995","1,985",4.90K,0.00%
1/10/2024,"1,995","1,995","1,995","1,995",0.10K,0.00%
1/11/2024,"1,965","1,990","1,995","1,965",1.20K,-1.50%
1/12/2024,"1,995","1,965","1,995","1,935",2.30K,1.53%
1/15/2024,"1,945","1,935","1,950","1,930",2.50K,-2.51%
1/16/2024,"1,990","1,990","1,990","1,985",3.10K,2.31%
1/17/2024,"1,990","1,945","1,990","1,945",0.50K,0.00%
1/18/2024,"1,990","1,990","1,990","1,990",3.70K,0.00%
1/19/2024,"1,990","1,990","1,990","1,990",0.10K,0.00%
1/22/2024,"2,000","1,950","2,000","1,950",0.70K,0.50%
1/23/2024,"2,010","2,000","2,010","1,945",0.90K,0.50%
1/24/2024,"2,000","1,945","2,000","1,945",1.10K,-0.50%
1/26/2024,"2,000","2,000","2,000","1,935",1.70K,0.00%
1/29/2024,"2,000","2,000","2,000","2,000",0.10K,0.00%
1/30/2024,"2,000","2,000","2,000","2,000",0.60K,0.00%
1/31/2024,"1,995","1,980","1,995","1,980",2.00K,-0.25%
2/1/2024,"1,995","1,995","1,995","1,995",1.60K,0.00%
2/2/2024,"1,995","1,995","1,995","1,995",1.50K,0.00%
2/5/2024,"1,920","1,995","1,995","1,920",105.30K,-3.76%
2/6/2024,"1,925","1,950","2,370","1,900",265.60K,0.26%
2/7/2024,"1,905","1,915","2,000","1,905",4.50K,-1.04%
2/12/2024,"1,965","1,965","1,965","1,965",1.90K,3.15%
2/13/2024,"1,990","1,965","1,990","1,965",0.30K,1.27%
2/15/2024,"1,975","1,970","1,975","1,970",1.60K,-0.75%
2/16/2024,"1,970","1,975","1,975","1,895",3.00K,-0.25%
2/19/2024,"1,975","1,970","1,975","1,970",1.50K,0.25%
2/20/2024,"1,975","1,975","1,975","1,975",1.10K,0.00%
2/22/2024,"1,955","1,975","1,975","1,925",1.70K,-1.01%
2/23/2024,"1,950","1,955","1,975","1,950",1.00K,-0.26%
2/26/2024,"1,950","1,975","1,975","1,920",1.50K,0.00%
2/27/2024,"1,950","1,950","1,950","1,950",0.10K,0.00%
2/28/2024,"1,915","1,950","1,950","1,915",2.30K,-1.79%
2/29/2024,"1,975","1,915","1,975","1,915",1.10K,3.13%
3/1/2024,"1,975","1,970","1,975","1,920",20.50K,0.00%
3/4/2024,"1,925","1,975","1,975","1,925",6.90K,-2.53%
3/5/2024,"1,965","1,925","1,965","1,925",3.10K,2.08%
3/7/2024,"1,965","1,965","1,965","1,965",0.60K,0.00%
3/8/2024,"1,965","1,965","1,965","1,965",1.10K,0.00%
3/13/2024,"1,930","1,930","1,930","1,930",0.80K,-1.78%
3/14/2024,"1,905","1,925","1,975","1,905",19.20K,-1.30%
3/15/2024,"1,955","1,995","2,050","1,955",20.20K,2.62%
